,제목,작가,장르(태국),좋아요수,조회수,구독수,별점,회차,연재시작일(태국),마지막연재일(태국),국가,한국제목,한국작가명,회차(한국),별점(한국),관심수(한국),장르(한국),해시태그(한국),연재시작일(한국),마지막연재일(한국),완결여부,웹툰/시리즈구분,작가전작개수,OSMU여부,태국진출여부,연재기간(태국),연재기간(한국)
615,ขอโทษครับ ผมไม่ใช่คนแถวนี้,Moname / เด็กชายตาขีด,개그,214688,4200000,94842,9.7,3,2020-10-29,2020-10-29,태국,,,0,,0,,,,,,,0,False,False,0,
616,เกิดอีกที ขอเป็นคนดีได้ไหม(วะ)?,SAYEOL / yerang,드라마,796389,28500000,316285,9.8,7,2019-05-23,2019-06-20,한국,착하게 살자 시즌1~2,글 사열 오기수 그림 예랑,137,8.86,27511,액션,"액션,완결액션",2021-08-02,2021-08-02,True,웹툰,1,False,True,28,0.0
617,ก๊วนหนุ่มฮามิติที่ 10,คัทบุ,개그,143234,8700000,35048,8.93,10,2014-11-30,2014-12-05,한국,소년들은 무엇을 하고 있을까,글/그림 컷부,125,9.75,222642,개그,"개그,완결개그",2014-01-16,2014-11-04,True,웹툰,3,False,True,5,292.0
618,สายลมฤดูร้อน,ฮันคยองชัล,드라마,30626,620454,33339,9.85,1,2021-09-28,2021-09-28,한국,썸머 브리즈,글/그림 한경찰,13,9.97,162819,로맨스,"로맨스,청춘로맨스,완결로맨스",2019-08-07,2019-10-30,True,웹툰,6,False,True,0,84.0
619,ซอมบี้ลูกพ่อ,ลียูนชาง,개그,445963,10900000,146176,9.74,11,2019-10-17,2019-12-12,한국,좀비딸,글/그림 이윤창,92,9.96,476392,드라마,"드라마,좀비,완결드라마",2018-08-22,2022-03-26,True,웹툰,5,False,True,56,1312.0
620,ตื๊อรักวิญญาณป่วน,วอนพอนชีแรบิช / โรจือบิน,로맨스,80666,1800000,55975,9.69,7,2021-06-19,2021-06-19,한국,날 가져요,글/그림 원펀치래빗 원작 로즈빈,115,9.86,170809,로맨스,"로맨스,소설원작,완결로맨스",2018-11-14,2020-12-30,True,웹툰,4,False,True,0,777.0
621,Corsair ท่องเวลาล่ารัก,MimuRa / PNJ,로맨스판타지,188445,4400000,130928,9.45,4,2020-08-06,2020-08-13,태국,,,0,,0,,,,,,,0,False,False,7,
622,UNLUCKY TODAY,โกลิง,로맨스,80186,1700000,52024,9.46,3,2021-01-31,2021-01-31,태국,,,0,,0,,,,,,,0,False,False,0,
623,โซยู,ฮัน,드라마,113678,2700000,48174,9.79,5,2020-10-16,2020-10-16,한국,소유,글/그림 한(恨),69,9.93,128687,드라마,"드라마,성인웹툰,완결드라마",2018-03-07,2019-08-28,True,웹툰,7,False,True,0,539.0
624,ยมทูตเจ้าเสน่ห์,เฮียรี / ซังพิล,로맨스,1000000,27000000,425839,9.84,10,2019-01-26,2019-03-09,한국,꽃미남 저승사자,글 히어리 그림 쌍필 원작 사지현,88,9.53,127654,로맨스,"로맨스,소설원작,완결로맨스",2018-11-15,2020-03-05,True,웹툰,4,False,True,42,476.0
625,ดอกไม้ของแวมไพร์,BULSA,로맨스판타지,585876,16300000,267816,9.7,54,2019-04-29,2020-04-20,한국,뱀파이어의 꽃,글 카나리아 그림 동물 원작 하야시,110,9.65,110643,로맨스,"로맨스,소설원작,완결로맨스",2018-11-25,2021-05-23,True,웹툰,1,False,True,357,910.0
626,โรงละครส่งวิญญาณ,LICO,드라마,274350,6000000,132940,9.8,7,2019-09-18,2019-10-16,한국,유령극단,글/그림 LICO,51,9.93,68483,판타지,"판타지,완결판타지",2019-08-23,2020-08-07,True,웹툰,13,False,True,28,350.0
627,โอ้! จูเยซู,อาฮยอน,로맨스,1300000,41400000,583632,9.8,3,2016-08-08,2016-08-08,한국,오!주예수여,글/그림 아현,143,9.95,358973,로맨스,"로맨스,완결로맨스",2015-06-01,2018-04-23,True,웹툰,2,False,True,0,1057.0
628,SAVE ME,Big Hit Ent. / LICO,드라마,244416,6500000,303739,9.91,1,2019-01-17,2019-01-17,한국,화양연화 Pt.0 ＜SAVE ME＞,글 HYBE 그림 LICO,16,8.82,134581,드라마,"드라마,완결드라마",2019-01-17,2019-04-11,True,웹툰,18,False,True,0,84.0
629,NEVERLAND,Domino-noble,판타지,291726,8500000,174511,9.75,4,2017-01-20,2017-01-27,태국,,,0,,0,,,,,,,0,False,False,7,
630,DEY ช่องสยองขวัญ,DEY,스릴러,94958,5200000,138013,9.78,15,2017-08-14,2017-11-13,한국,DEY 호러채널(일반판),글/그림 DEY,47,9.81,27798,스릴러,"스릴러,성인웹툰,완결스릴러",2021-06-14,2021-06-14,True,웹툰,3,False,True,91,0.0
